"Source:","/home/apistol/private/rv32/schematics/qm k7 aux brd/qm k7 aux brd.kicad_sch"
"Date:","Fri 22 Apr 2022 02:09:59 PM CEST"
"Tool:","Eeschema 6.0.4-6f826c9f35~116~ubuntu21.10.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","27"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","10uF","Device:C_Polarized","Capacitor_SMD:CP_Elec_5x5.3","~"
"","","C2","100uF","Device:C_Polarized","Capacitor_SMD:CP_Elec_5x5.3","~"
"","","C3","3.3uF","pspice:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","C4","3.3uF","pspice:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","C5","2.7nF","pspice:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","C6","2.7nF","pspice:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","C7","10uF","pspice:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","C8","100nF","pspice:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","C9","10uF","pspice:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"","","H1","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad","~"
"","","H2","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad","~"
"","","J1","LEFT","Connector_Generic:Conn_02x32_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x32_P2.54mm_Vertical","~"
"","","J2","Micro_SD_Card","Connector:Micro_SD_Card","Connector_Card:microSD_HC_Hirose_DM3D-SF","http://katalog.we-online.de/em/datasheet/693072010801.pdf"
"","","J3","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"","","J4","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"","","R1","4k7","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","R2","4k7","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","R3","4k7","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","R4","4k7","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","R5","4k7","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","R6","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","R7","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","R8","470","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","R9","470","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","TP1","TestPoint","Connector:TestPoint","TestPoint:TestPoint_Pad_D2.5mm","~"
"","","U1","AP1117-33","Regulator_Linear:AP1117-33","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.diodes.com/datasheets/AP1117.pdf"
"","","U2","CS4344-CZZ","2022-04-22_11-49-30:CS4344-CZZ","footprints:CS4344-CZZ",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","C1","10uF","Device:C_Polarized","Capacitor_SMD:CP_Elec_5x5.3","~"
"2","1","C2","100uF","Device:C_Polarized","Capacitor_SMD:CP_Elec_5x5.3","~"
"3","2","C3, C4","3.3uF","pspice:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"4","2","C5, C6","2.7nF","pspice:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"5","2","C7, C9","10uF","pspice:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"6","1","C8","100nF","pspice:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"7","2","H1, H2","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad","~"
"8","1","J1","LEFT","Connector_Generic:Conn_02x32_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x32_P2.54mm_Vertical","~"
"9","1","J2","Micro_SD_Card","Connector:Micro_SD_Card","Connector_Card:microSD_HC_Hirose_DM3D-SF","http://katalog.we-online.de/em/datasheet/693072010801.pdf"
"10","2","J3, J4","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"11","5","R1, R2, R3, R4, R5","4k7","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"12","2","R6, R7","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"13","2","R8, R9","470","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"14","1","TP1","TestPoint","Connector:TestPoint","TestPoint:TestPoint_Pad_D2.5mm","~"
"15","1","U1","AP1117-33","Regulator_Linear:AP1117-33","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.diodes.com/datasheets/AP1117.pdf"
"16","1","U2","CS4344-CZZ","2022-04-22_11-49-30:CS4344-CZZ","footprints:CS4344-CZZ",""
